项目ID,项目,状态,资料时点,说明,分产品状态,整理日期
GL150,"Musongati Nickel Laterite Project (planned, never built) 穆松加蒂镍红土矿项目(规划中，从未建成)",项目中止(未建成),底表核实年份：2011；状态始于2011年,该记录按全球普查底表列为项目中止(未建成)。停产及变化背景见正文。,,2026-09-18
GL151,Bou Azzer Cobalt-Nickel Complex (CTT / Managem) 布阿泽尔钴镍联合厂(CTT/曼纳吉姆),在产,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
GL152,Bindura Smelter & Refinery Complex (Bindura Nickel Corporation / Trojan Mine) 宾杜拉镍冶炼及精炼厂(宾杜拉镍业公司/特洛伊矿),停产(可复产),底表核实年份：2026；状态始于2008年,该记录按全球普查底表列为停产(可复产)。停产及变化背景见正文。,,2026-09-18
GL153,Empress Nickel Refinery (ENR) 皇后镍精炼厂,保养维护(C&M),底表核实年份：2026；状态始于2008年,该记录按全球普查底表列为保养维护(C&M)。停产及变化背景见正文。,,2026-09-18
GL154,Hartley Platinum Mine PGM Base-Metals Refinery (byproduct nickel) 哈特利铂矿铂族金属贱金属精炼厂(副产镍),不详,底表核实年份：1997；状态始于1997年,该记录按全球普查底表列为不详。停产及变化背景见正文。,,2026-09-18
GL155,Zimplats Selous Metallurgical Complex (Smelter) 津巴布韦铂业塞卢斯冶炼厂,在产,底表核实年份：2026；状态始于2025年,该记录按全球普查底表列为在产。,,2026-09-18
GL156,Western Côte d'Ivoire Nickel Laterite Prospects (Sipilou / Foungouesso / Moyango / Biankouma) — exploration/pre-development stage 科特迪瓦西部镍红土矿勘探项目群(西皮鲁/丰古埃索/莫扬戈/比安库马),不详,底表核实年份：2014；状态始于2014年,该记录按全球普查底表列为不详。,,2026-09-18
GL158,Kleva Nickel Mine & Smelter (Kleva gruva) 克莱瓦(Kleva)镍矿及冶炼厂,永久关闭,底表核实年份：1920；状态始于1920年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL159,Bamble Nikkelverk (Bamble Nickel Works) 巴姆布勒(Bamble)镍厂,永久关闭,底表核实年份：1919；状态始于1919年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL160,Drury Nickel Company Smelter (Chicago Mine) 德鲁里镍业公司芝加哥矿冶炼厂,已拆除,底表核实年份：1897；状态始于1897年,该记录按全球普查底表列为已拆除。停产及变化背景见正文。,,2026-09-18
GL161,Dominion Nickel Company Blezard Mine Smelter 多米尼恩镍业公司布莱扎德矿冶炼厂,已拆除,底表核实年份：1893；状态始于1893年,该记录按全球普查底表列为已拆除。停产及变化背景见正文。,,2026-09-18
GL162,Schladming-Hopfriesen Nickel Smelter (Gersdorff Nickel Works) 施拉德明-霍普夫里森镍冶炼厂(格斯多夫镍业),永久关闭,底表核实年份：1876；状态始于1876年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL163,"Mond Nickel Carbonyl Experimental/Model Refinery, Smethwick 蒙德(Mond)斯梅斯维克镍羰基法实验/模型精炼厂",永久关闭,底表核实年份：1902；状态始于1902年,该记录按全球普查底表列为永久关闭。停产及变化背景见正文。,,2026-09-18
GL164,Vale Bécancour Nickel Sulphate Plant (Vale Base Metals Nickel Sulphate Project) 淡水河谷贝坎库尔硫酸镍厂,项目中止(未建成),底表核实年份：2025；状态始于2025年,该记录按全球普查底表列为项目中止(未建成)。停产及变化背景见正文。,,2026-09-18
GL165,Wyloo Sudbury Battery Materials Processing Facility 怀洛(Wyloo)萨德伯里电池材料加工厂,规划中或可研,底表核实年份：2026；状态始于2024年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
GL166,Ferronickel Kombinat Ertis LLP (ТОО «Ферроникелевый комбинат «Ертіс»）／ Ferronickel Plant Ertis LLP 额尔齐斯(Ertis)铁镍联合企业有限公司（存疑，或为集团内部筹备型壳公司）,规划中或可研,底表核实年份：2026；状态始于2026年,该记录按全球普查底表列为规划中或可研。,,2026-09-18
