项目ID,统一标题,英文抬头或项目名,中文名称,中文名称说明
GL160,Drury Nickel Company Smelter (Chicago Mine) 德鲁里镍业公司芝加哥矿冶炼厂,Drury Nickel Company Smelter (Chicago Mine),德鲁里镍业公司芝加哥矿冶炼厂,用户全球普查底表
GL161,Dominion Nickel Company Blezard Mine Smelter 多米尼恩镍业公司布莱扎德矿冶炼厂,Dominion Nickel Company Blezard Mine Smelter,多米尼恩镍业公司布莱扎德矿冶炼厂,用户全球普查底表
GL162,Schladming-Hopfriesen Nickel Smelter (Gersdorff Nickel Works) 施拉德明-霍普夫里森镍冶炼厂(格斯多夫镍业),Schladming-Hopfriesen Nickel Smelter (Gersdorff Nickel Works),施拉德明-霍普夫里森镍冶炼厂(格斯多夫镍业),用户全球普查底表
GL163,"Mond Nickel Carbonyl Experimental/Model Refinery, Smethwick 蒙德(Mond)斯梅斯维克镍羰基法实验/模型精炼厂","Mond Nickel Carbonyl Experimental/Model Refinery, Smethwick",蒙德(Mond)斯梅斯维克镍羰基法实验/模型精炼厂,用户全球普查底表
GL164,Vale Bécancour Nickel Sulphate Plant (Vale Base Metals Nickel Sulphate Project) 淡水河谷贝坎库尔硫酸镍厂,Vale Bécancour Nickel Sulphate Plant (Vale Base Metals Nickel Sulphate Project),淡水河谷贝坎库尔硫酸镍厂,用户全球普查底表
GL165,Wyloo Sudbury Battery Materials Processing Facility 怀洛(Wyloo)萨德伯里电池材料加工厂,Wyloo Sudbury Battery Materials Processing Facility,怀洛(Wyloo)萨德伯里电池材料加工厂,用户全球普查底表
GL166,Ferronickel Kombinat Ertis LLP (ТОО «Ферроникелевый комбинат «Ертіс»）／ Ferronickel Plant Ertis LLP 额尔齐斯(Ertis)铁镍联合企业有限公司（存疑，或为集团内部筹备型壳公司）,Ferronickel Kombinat Ertis LLP (ТОО «Ферроникелевый комбинат «Ертіс»）／ Ferronickel Plant Ertis LLP,额尔齐斯(Ertis)铁镍联合企业有限公司（存疑，或为集团内部筹备型壳公司）,用户全球普查底表
CN001,扬州一川镍业有限公司,,扬州一川镍业有限公司,用户提供的中国项目表
CN002,宿迁翔翔实业有限公司,,宿迁翔翔实业有限公司,用户提供的中国项目表
CN003,连云港海赣科技有限公司,,连云港海赣科技有限公司,用户提供的中国项目表
CN004,连云港科创不锈钢新材料有限公司,,连云港科创不锈钢新材料有限公司,用户提供的中国项目表
CN005,江苏德龙镍业有限公司,,江苏德龙镍业有限公司,用户提供的中国项目表
CN006,赣榆县金成镍业有限公司,,赣榆县金成镍业有限公司,用户提供的中国项目表
CN007,连云港天乙金属制品有限公司,,连云港天乙金属制品有限公司,用户提供的中国项目表
CN008,江苏宝通镍业有限公司,,江苏宝通镍业有限公司,用户提供的中国项目表
CN009,荣阳钢铁,,荣阳钢铁,用户提供的中国项目表
CN010,营口宁丰镁业（宁丰集团）,,营口宁丰镁业（宁丰集团）,用户提供的中国项目表
CN011,辽宁晟运实业有限公司,,辽宁晟运实业有限公司,用户提供的中国项目表
CN012,营口广大实业有限公司,,营口广大实业有限公司,用户提供的中国项目表
CN013,光大冶金发展（大连）有限公司,,光大冶金发展（大连）有限公司,用户提供的中国项目表
CN014,辽宁宝铂科技有限公司,,辽宁宝铂科技有限公司,用户提供的中国项目表
CN015,朝阳昊天有色金属有限公司-朝阳利鑫有色金属有限公司（北方兄弟）,,朝阳昊天有色金属有限公司-朝阳利鑫有色金属有限公司（北方兄弟）,用户提供的中国项目表
CN016,海城市腾发耐火材料有限公司,,海城市腾发耐火材料有限公司,用户提供的中国项目表
CN017,凌源市瑞丰铸造有限公司,,凌源市瑞丰铸造有限公司,用户提供的中国项目表
CN018,辽宁垚鑫铸业有限公司,,辽宁垚鑫铸业有限公司,用户提供的中国项目表
CN019,鞍山旭辰耐火材料有限公司,,鞍山旭辰耐火材料有限公司,用户提供的中国项目表
CN020,辽宁国润金属集团,,辽宁国润金属集团,用户提供的中国项目表
CN021,锦州市鑫泽锰业有限公司（义县应盛金属实业有限公司）,,锦州市鑫泽锰业有限公司（义县应盛金属实业有限公司）,用户提供的中国项目表
CN022,锦州鑫雨铁合金,,锦州鑫雨铁合金,用户提供的中国项目表
CN023,山东鑫海科技有限公司,,山东鑫海科技有限公司,用户提供的中国项目表
CN024,临沂金海汇科技有限公司,,临沂金海汇科技有限公司,用户提供的中国项目表
CN025,茌平爱得信新材料有限公司,,茌平爱得信新材料有限公司,用户提供的中国项目表
CN026,日照铸福,,日照铸福,用户提供的中国项目表
CN027,沾化县炜烨镍业有限公司,,沾化县炜烨镍业有限公司,用户提供的中国项目表
CN028,山西曲沃县三鑫铸造有限公司,,山西曲沃县三鑫铸造有限公司,用户提供的中国项目表
CN029,青州天泰德隆冶金科技有限公司,,青州天泰德隆冶金科技有限公司,用户提供的中国项目表
CN030,冠县顺丰金属制品有限公司,,冠县顺丰金属制品有限公司,用户提供的中国项目表
CN031,福建联德镍铁合金,,福建联德镍铁合金,用户提供的中国项目表
CN032,福建鼎信实业有限公司,,福建鼎信实业有限公司,用户提供的中国项目表
CN033,宝钢德盛不锈钢有限公司,,宝钢德盛不锈钢有限公司,用户提供的中国项目表
CN034,五洲镍业有限公司/化德县五洲钢业有限公司,,五洲镍业有限公司/化德县五洲钢业有限公司,用户提供的中国项目表
CN035,内蒙古察右前旗鑫扬冶金化工有限公司,,内蒙古察右前旗鑫扬冶金化工有限公司,用户提供的中国项目表
CN036,内蒙古商都县永鑫公司（原瑞泰冶金）,,内蒙古商都县永鑫公司（原瑞泰冶金）,用户提供的中国项目表
CN037,内蒙古硕丰实业有限公司,,内蒙古硕丰实业有限公司,用户提供的中国项目表
CN038,内蒙古上泰实业有限公司,,内蒙古上泰实业有限公司,用户提供的中国项目表
CN039,内蒙古商都县中建金马冶金化工有限公司,,内蒙古商都县中建金马冶金化工有限公司,用户提供的中国项目表
CN040,内蒙古天润特种铁合金有限公司,,内蒙古天润特种铁合金有限公司,用户提供的中国项目表
CN041,内蒙古隆盛特钢有限公司,,内蒙古隆盛特钢有限公司,用户提供的中国项目表
CN042,内蒙古和谊镍铬复合材料有限公司,,内蒙古和谊镍铬复合材料有限公司,用户提供的中国项目表
CN043,化德县嘉铭钢业有限公司,,化德县嘉铭钢业有限公司,用户提供的中国项目表
CN044,内蒙古察右前旗辰东化工有限责任公司,,内蒙古察右前旗辰东化工有限责任公司,用户提供的中国项目表
CN045,瑞泰冶金有限公司,,瑞泰冶金有限公司,用户提供的中国项目表
CN046,瑞泰,,瑞泰,用户提供的中国项目表
CN047,化德县中泰镍铁有限公司,,化德县中泰镍铁有限公司,用户提供的中国项目表
CN048,化德县鑫泽镍业有限公司,,化德县鑫泽镍业有限公司,用户提供的中国项目表
CN049,化德县同盛铁合金有限公司(昌盛泰),,化德县同盛铁合金有限公司(昌盛泰),用户提供的中国项目表
CN050,永盛铁合金,,永盛铁合金,用户提供的中国项目表
CN051,光达冶金（烨兆）,,光达冶金（烨兆）,用户提供的中国项目表
CN052,化德县鑫盛铁合金有限公司,,化德县鑫盛铁合金有限公司,用户提供的中国项目表
CN053,唐山凯源实业有限公司,,唐山凯源实业有限公司,用户提供的中国项目表
CN054,唐山腾达科技有限公司,,唐山腾达科技有限公司,用户提供的中国项目表
CN055,丰润区长明不锈钢制品厂,,丰润区长明不锈钢制品厂,用户提供的中国项目表
CN056,河北春风铸造有限责任公司,,河北春风铸造有限责任公司,用户提供的中国项目表
CN057,偏关县晋电化工有限责任公司,,偏关县晋电化工有限责任公司,用户提供的中国项目表
CN058,山西众泰陆洋冶炼实业有限公司,,山西众泰陆洋冶炼实业有限公司,用户提供的中国项目表
CN059,山西达康集团,,山西达康集团,用户提供的中国项目表
CN060,河南省煜晟镍业有限责任公司,,河南省煜晟镍业有限责任公司,用户提供的中国项目表
CN061,福佳不锈钢制品有限公司,,福佳不锈钢制品有限公司,用户提供的中国项目表
CN062,河南宝泰盛商贸有限公司,,河南宝泰盛商贸有限公司,用户提供的中国项目表
CN063,阳江翌川金属科技有限公司,,阳江翌川金属科技有限公司,用户提供的中国项目表
CN064,广东世纪青山镍业有限公司,,广东世纪青山镍业有限公司,用户提供的中国项目表
CN065,广东广青金属科技有限公司,,广东广青金属科技有限公司,用户提供的中国项目表
CN066,中金金属科技有限公司,,中金金属科技有限公司,用户提供的中国项目表
CN067,广西戎鑫达资源有限公司,,广西戎鑫达资源有限公司,用户提供的中国项目表
CN068,广西金源镍业有限公司,,广西金源镍业有限公司,用户提供的中国项目表
CN069,北海诚德镍业有限公司,,北海诚德镍业有限公司,用户提供的中国项目表
CN070,广西龙州中恒万华实业有限公司,,广西龙州中恒万华实业有限公司,用户提供的中国项目表
CN071,连云港华乐合金,,连云港华乐合金,用户提供的中国项目表
CN072,山东临港有色金属有限公司（盛阳）,,山东临港有色金属有限公司（盛阳）,用户提供的中国项目表
CN073,中亿金属科技有限公司（亿利达钢铁）,,中亿金属科技有限公司（亿利达钢铁）,用户提供的中国项目表
CN074,福建青拓镍业有限公司,,福建青拓镍业有限公司,用户提供的中国项目表
CN075,河南鑫金汇特钢有限公司,,河南鑫金汇特钢有限公司,用户提供的中国项目表
CN076,内蒙古和谊镍铬复合材料有限公司(租给万汇) 和恒,,内蒙古和谊镍铬复合材料有限公司(租给万汇) 和恒,用户提供的中国项目表
CN077,亿晨镍铬合金（临沂钢投）,,亿晨镍铬合金（临沂钢投）,用户提供的中国项目表
CN078,奈曼经安有限公司,,奈曼经安有限公司,用户提供的中国项目表
CN079,大连富力镍基合金新材料有限公司,,大连富力镍基合金新材料有限公司,用户提供的中国项目表
CN080,湖南中伟新材料有限公司,,湖南中伟新材料有限公司,用户提供的中国项目表
CN081,浙江华友钴业股份有限公司,,浙江华友钴业股份有限公司,用户提供的中国项目表
CN082,荆门市格林美新材料有限公司 荆门格林美,,荆门市格林美新材料有限公司,企业、政府或上市公司公开披露
CN083,金川集团镍盐有限公司,,金川集团镍盐有限公司,用户提供的中国项目表
CN084,宁波长江能源科技有限公司,,宁波长江能源科技有限公司,用户提供的中国项目表
CN085,湖南邦普循环科技有限公司,,湖南邦普循环科技有限公司,用户提供的中国项目表
CN086,广东佳纳能源科技有限公司,,广东佳纳能源科技有限公司,用户提供的中国项目表
CN087,中冶瑞木新能源科技有限公司,,中冶瑞木新能源科技有限公司,用户提供的中国项目表
CN088,"Guangxi Yinyi New Materials Co., Ltd. 广西银亿新材料有限公司","Guangxi Yinyi New Materials Co., Ltd.",广西银亿新材料有限公司,用户提供的中国项目表
CN089,广东芳源新材料集团股份有限公司 芳源股份,,广东芳源新材料集团股份有限公司,企业、政府或上市公司公开披露
CN090,广西智亮新材料股份有限公司,,广西智亮新材料股份有限公司,用户提供的中国项目表
CN091,金柯有色金属有限公司,,金柯有色金属有限公司,用户提供的中国项目表
CN092,"Tianjin Maolian Technology Co., Ltd. 天津市茂联科技有限公司","Tianjin Maolian Technology Co., Ltd.",天津市茂联科技有限公司,用户提供的中国项目表
CN093,江门市长优实业有限公司,,江门市长优实业有限公司,用户提供的中国项目表
CN094,"Jilin Jien Nickel Industry Co., Ltd. 吉林吉恩镍业股份有限公司","Jilin Jien Nickel Industry Co., Ltd.",吉林吉恩镍业股份有限公司,用户提供的中国项目表
CN095,眉山顺应动力电池材料有限公司,,眉山顺应动力电池材料有限公司,用户提供的中国项目表
CN096,赣州吉锐新能源科技有限公司（江西力道）,,赣州吉锐新能源科技有限公司（江西力道）,用户提供的中国项目表
CN097,万华化学电池产业公司,,万华化学电池产业公司,用户提供的中国项目表
CN098,赣州腾远钴业新材料股份有限公司 腾远钴业,,赣州腾远钴业新材料股份有限公司,企业、政府或上市公司公开披露
CN099,浙江路加新能源有限公司,,浙江路加新能源有限公司,用户提供的中国项目表
CN100,"Chizhou CN Material New Materials Technology Co., Ltd. 池州西恩新材料科技有限公司","Chizhou CN Material New Materials Technology Co., Ltd.",池州西恩新材料科技有限公司,用户提供的中国项目表
CN101,"Zhejiang New Era Zhongneng Technology Co., Ltd. 浙江新时代中能循环科技有限公司","Zhejiang New Era Zhongneng Technology Co., Ltd.",浙江新时代中能循环科技有限公司,用户提供的中国项目表
CN102,广东威玛新材料股份有限公司 广东威玛,,广东威玛新材料股份有限公司,企业、政府或上市公司公开披露
CN103,福建常青新能源科技有限公司,,福建常青新能源科技有限公司,用户提供的中国项目表
CN104,"Yantai Kaishi Industry Co., Ltd. 烟台凯实工业有限公司","Yantai Kaishi Industry Co., Ltd.",烟台凯实工业有限公司,用户提供的中国项目表
CN105,河南科隆新能源股份有限公司,,河南科隆新能源股份有限公司,用户提供的中国项目表
CN106,湖南金驰能源材料有限公司,,湖南金驰能源材料有限公司,用户提供的中国项目表
CN107,浙江三晟化工有限公司,,浙江三晟化工有限公司,用户提供的中国项目表
CN108,江西睿达环保有限公司,,江西睿达环保有限公司,用户提供的中国项目表
CN109,陕西聚泰新材料科技有限公司,,陕西聚泰新材料科技有限公司,用户提供的中国项目表
CN110,肇庆市金晟金属实业有限公司,,肇庆市金晟金属实业有限公司,用户提供的中国项目表
CN111,"Jiangxi Province Guangde Environmental Protection Technology Co., Ltd. 江西省广德环保科技股份有限公司","Jiangxi Province Guangde Environmental Protection Technology Co., Ltd.",江西省广德环保科技股份有限公司,用户提供的中国项目表
CN112,上海格派镍钴能源技术集团有限公司,,上海格派镍钴能源技术集团有限公司,用户提供的中国项目表
CN113,辽宁华信钴业科技有限公司,,辽宁华信钴业科技有限公司,用户提供的中国项目表
CN114,湖北长宸锂能循环科技有限公司,,湖北长宸锂能循环科技有限公司,用户提供的中国项目表
CN115,全南县瑞隆科技有限公司,,全南县瑞隆科技有限公司,用户提供的中国项目表
CN116,湖南金源新材料股份有限公司,,湖南金源新材料股份有限公司,用户提供的中国项目表
CN117,余姚市环科再生资源有限公司,,余姚市环科再生资源有限公司,用户提供的中国项目表
CN118,江西自立环保科技有限公司,,江西自立环保科技有限公司,用户提供的中国项目表
CN119,启东市北新无机化工有限公司,,启东市北新无机化工有限公司,用户提供的中国项目表
CN120,桑顿新能源科技有限公司,,桑顿新能源科技有限公司,用户提供的中国项目表
CN121,南通新玮镍钴科技发展有限公司,,南通新玮镍钴科技发展有限公司,用户提供的中国项目表
CN122,吉林亚融科技股份有限公司,,吉林亚融科技股份有限公司,用户提供的中国项目表
CN123,浙江升阳再生资源科技股份有限公司,,浙江升阳再生资源科技股份有限公司,用户提供的中国项目表
CN124,宁波华吉新材料科技有限公司,,宁波华吉新材料科技有限公司,用户提供的中国项目表
CN125,广东飞南资源利用股份有限公司,,广东飞南资源利用股份有限公司,用户提供的中国项目表
CN126,浙江天能新材料有限公司,,浙江天能新材料有限公司,用户提供的中国项目表
CN127,广东光华科技股份有限公司,,广东光华科技股份有限公司,用户提供的中国项目表
CN128,阳江市绿森工贸有限公司,,阳江市绿森工贸有限公司,用户提供的中国项目表
CN129,上饶市鼎鑫金属化工有限公司,,上饶市鼎鑫金属化工有限公司,用户提供的中国项目表
CN130,赣州市豪鹏科技有限公司,,赣州市豪鹏科技有限公司,用户提供的中国项目表
CN131,包头锐博新能源材料有限公司,,包头锐博新能源材料有限公司,用户提供的中国项目表
CN132,大连瑞源动力股份有限公司,,大连瑞源动力股份有限公司,用户提供的中国项目表
CN133,江西江钨钴业有限公司,,江西江钨钴业有限公司,用户提供的中国项目表
CN134,江西赣峰锂业,,江西赣峰锂业,用户提供的中国项目表
CN135,贵州鹏程新材料有限公司,,贵州鹏程新材料有限公司,用户提供的中国项目表
CN136,山西正兴有色金属有限公司,,山西正兴有色金属有限公司,用户提供的中国项目表
CN137,江西天奇金泰阁钴业有限公司,,江西天奇金泰阁钴业有限公司,用户提供的中国项目表
CN138,蜀矿环锂科技公司,,蜀矿环锂科技公司,用户提供的中国项目表
CN139,盛屯矿业,,盛屯矿业,用户提供的中国项目表
CN140,韶关中弘金属实业有限公司,,韶关中弘金属实业有限公司,用户提供的中国项目表
CN141,宁波容百新能源科技股份有限公司,,宁波容百新能源科技股份有限公司,用户提供的中国项目表
CN142,江苏领先再生资源科技有限公司,,江苏领先再生资源科技有限公司,用户提供的中国项目表
CN143,浙江帕瓦新能源股份有限公司,,浙江帕瓦新能源股份有限公司,用户提供的中国项目表
CN144,宜宾光原锂电材料有限公司,,宜宾光原锂电材料有限公司,用户提供的中国项目表
CN145,盐城星创资源循环利用有限公司,,盐城星创资源循环利用有限公司,用户提供的中国项目表
CN146,华泽钴镍材料股份有限公司,,华泽钴镍材料股份有限公司,用户提供的中国项目表
CN147,余姚市鑫和电池材料有限公司,,余姚市鑫和电池材料有限公司,用户提供的中国项目表
CN148,新乡超能电源有限公司（新乡帝龙）,,新乡超能电源有限公司（新乡帝龙）,用户提供的中国项目表
CN149,浙江伟明盛青能源新材料有限公司 伟明盛青,,浙江伟明盛青能源新材料有限公司,企业、政府或上市公司公开披露
CN150,湖南金凯循环科技股份有限公司,,湖南金凯循环科技股份有限公司,用户提供的中国项目表
CN151,湖北睿勤新能源科技有限公司,,湖北睿勤新能源科技有限公司,用户提供的中国项目表
CN152,贵州星茂新材料有限公司,,贵州星茂新材料有限公司,用户提供的中国项目表
CN153,金川集团股份有限公司 金昌纯镍产线,,金川集团股份有限公司（金昌纯镍产线）,用户提供的中国项目表
CN154,"GEM Co., Ltd. 格林美股份有限公司","GEM Co., Ltd.",格林美股份有限公司,用户提供的中国项目表
CN155,Guangxi Huayou 广西华友新材料有限公司 广西华友,Guangxi Huayou,广西华友新材料有限公司 广西华友,用户提供的中国项目表
CN156,Quzhou Huayou 衢州华友钴新材料有限公司 衢州华友,Quzhou Huayou,衢州华友钴新材料有限公司 衢州华友,用户提供的中国项目表
CN157,Guangxi Huaze 广西华泽,Guangxi Huaze,广西华泽,用户提供的中国项目表
CN158,Jiangxi Huaze 江西华泽,Jiangxi Huaze,江西华泽,用户提供的中国项目表
CN159,新疆新鑫矿业股份有限公司 阜康冶炼厂,,新疆新鑫矿业股份有限公司,企业、政府或上市公司公开披露
CN160,"Yunxi Group Yuanjiang Nickel Industry Co., Ltd. 云锡集团元江镍业有限责任公司","Yunxi Group Yuanjiang Nickel Industry Co., Ltd.",云锡集团元江镍业有限责任公司,用户提供的中国项目表
CN161,"Zhejiang Yuanli Renewable Resources Co., Ltd. 浙江元力再生资源有限公司","Zhejiang Yuanli Renewable Resources Co., Ltd.",浙江元力再生资源有限公司,用户提供的中国项目表
CN162,"Zhejiang Lujia New Materials Co., Ltd. 浙江路加新材料有限公司","Zhejiang Lujia New Materials Co., Ltd.",浙江路加新材料有限公司,用户提供的中国项目表
CN163,"Jiangsu Qisheng Metal Technology Co., Ltd. 江苏祺生金属科技有限公司","Jiangsu Qisheng Metal Technology Co., Ltd.",江苏祺生金属科技有限公司,用户提供的中国项目表
CN164,广西中伟新能源科技有限公司 钦州基地,,广西中伟新能源科技有限公司,企业、政府或上市公司公开披露
CN165,"Zhejiang Weiming Environmental Protection Co., Ltd. 浙江伟明环保股份有限公司","Zhejiang Weiming Environmental Protection Co., Ltd.",浙江伟明环保股份有限公司,用户提供的中国项目表
CN166,"Shaanxi Jutai New Materials Technology Co., Ltd. 陕西聚泰新材料科技有限公司（浙江统计项目）","Shaanxi Jutai New Materials Technology Co., Ltd.",陕西聚泰新材料科技有限公司（浙江统计项目）,用户提供的中国项目表
CN167,赣州寒锐新能源科技有限公司 赣州寒锐,,赣州寒锐新能源科技有限公司,企业、政府或上市公司公开披露
CN168,广西格派电池新材料有限公司 广西格派,,广西格派电池新材料有限公司,企业、政府或上市公司公开披露
CN169,盛屯能源金属化学（贵州）有限公司 贵州盛屯,,盛屯能源金属化学（贵州）有限公司,企业、政府或上市公司公开披露
CN170,广东飞南资源利用股份有限公司 江西基地,"Guangdong Feinan Resources Utilization Co., Ltd.",广东飞南资源利用股份有限公司,用户提供的中国项目表
